# ratio FFTW MKL
1 39.96 6.33862
2 29.3525 4.61376
4 26.6967 4.8036
8 16.1361 4.26301
16 38.4404 4.04512
32 28.4828 4.98418
64 22.542 5.48685
128 18.9838 7.37519
256 14.6695 11.6166
512 18.1104 7.30188
