# N	FFTW_R	MKL_R	FFTW_C	MKL_C
30	0.0005761127	0.000456553	0.0008502461	0.0006087344
70	0.008010798	0.005169351	0.01345987	0.00743306
105	0.03263083	0.02325639	0.06339327	0.02657502
210	0.2932085	0.1623849	0.5275527	0.2459314
420	2.451436	1.409107	4.935318	2.246478
