# N	FFTW_R	MKL_R	FFTW_C	MKL_C
32	0.0005444567	0.000555924	0.001096366	0.0005826037
64	0.004781796	0.003584742	0.01134562	0.00492682
128	0.05268307	0.02980131	0.1676581	0.05094501
256	0.5325982	0.2821865	2.123512	0.5067566
512	5.511995	2.533828	39.93017	6.347201
