# N	FFTW_R	MKL_R	GSL_R	FFTPACK_R	FFTW_C	MKL_C	GSL_C	FFTPACK_C
257	1.28E-05	4.13E-05	0.0001566943	0.0001048622	1.54E-05	1.49E-05	1.53E-05	1.40E-05
1021	5.76E-05	7.49E-05	0.001779621	0.0009212178	6.53E-05	8.89E-05	6.10E-05	9.96E-05
4093	0.0003313298	0.0002715755	0.02791561	0.01425346	0.0003260699	0.0003775154	0.0004042786	0.0004365487
16381	0.00104052	0.00110099	0.4449663	0.2198574	0.002211808	0.002332944	0.002303477	0.002410703
65521	0.008757283	0.00430367	7.040886	3.487541	0.009226765	0.009000429	0.008635668	0.008675646
262139	0.0477569714286	0.0169707833333	112.719333333	56.2364333333	0.0415241333333	0.0383830166667	0.0399342	0.0394661833333
