# N	FFTW_R	MKL_R	FFTW_C	MKL_C
504	0.005523285	0.003514255	0.00947753	0.005160761
1029	0.03070985	0.02185386	0.05859968	0.02797286
2058	0.1330128	0.07831951	0.2804938	0.1158872
4116	0.6950349	0.3309045	1.225593	0.4981744
8232	3.011899	1.413617	7.62265	2.156592
