# N	FFTW_R	MKL_R	FFTW_C	MKL_C
31	0.0010008426	0.0009882976	0.001512168	0.001292607
61	0.01524421	0.01343165	0.03024371	0.01540736
127	0.171178	0.07494269	0.2905808	0.1061443
257	1.659281	0.8771153	2.618549	1.275801
509	15.9577	6.139677	22.63416	8.786605
