# N FFTW MKL GSL FFTPACK
257      1.5279e-05 1.7393e-05 1.8895e-05 1.3855e-05
1021     6.4656e-05 8.588e-05 6.3121e-05 0.000100159
4093     0.000320816 0.000375668 0.00039004 0.000438131
16381    0.00217969 0.00237097 0.0023363 0.00244909
65521    0.00936011 0.00909216 0.00861952 0.00883306
262139   0.0419321 0.0429432 0.0402641 0.0403057
#1048573  0.242196  0.238264 0.236457 NaN
#4194301  
#16777213 
#67108859 
