N 1DFFTPACKC 1DFFTPACKR 1DFFTWC 1DFFTWR 1DGSLC 1DGSLR 1DMKLC 1DMKLR 2DFFTWC 2DFFTWR 2DMKLC 2DMKLR 3DFFTWC 3DFFTWR 3DMKLC 3DMKLR 
512 8.6467e-06 1.57094e-05 1.43313e-05 6.459e-06 8.9037e-06 2.67695e-05 7.6522e-06 1.77497e-05 0.0135116 0.005235783 0.005154549 0.003551274 39.32455 5.506472 6.345384 2.524211 
1024 1.60353e-05 2.44978e-05 2.48993e-05 2.10496e-05 1.66113e-05 3.742e-05 1.57487e-05 2.42636e-05 0.0673841 0.0263581 0.02588033 0.01563382 0 65.01842 0 0 
2048 3.36991e-05 3.44584e-05 4.80995e-05 4.28815e-05 3.39689e-05 4.74378e-05 3.40535e-05 4.32449e-05 0.5389002 0.1261226 0.1458343 0.08124142 0 0 0 0 
4096 7.8209e-05 6.08722e-05 0.0001044155 8.67522e-05 7.78716e-05 8.59631e-05 8.07387e-05 6.55175e-05 3.13123 0.7204 0.4981821 0.3049491 0 0 0 0 
8192 0.0001749617 0.0001286246 0.0002016232 0.0001697711 0.0001770544 0.0001909799 0.0001785173 9.82554e-05 13.1252 2.82437 2.461114 1.309967 0 0 0 0 
