N 1DFFTPACKC 1DFFTPACKR 1DFFTWC 1DFFTWR 1DGSLC 1DGSLR 1DMKLC 1DMKLR 2DFFTWC 2DFFTWR 2DMKLC 2DMKLR 3DFFTWC 3DFFTWR 3DMKLC 3DMKLR 
30 1.0179e-06 2.22995e-05 3.4731e-06 1.5602e-06 8.956e-07 2.38129e-05 1.4766e-06 1.00806e-05 1.97278e-05 1.88146e-05 1.06434e-05 1.25488e-05 0.0008502461 0.0005761127 0.0006087344 0.000456553 
70 1.6507e-06 4.4356e-05 6.8636e-06 2.3862e-06 1.7525e-06 2.50125e-05 2.0063e-06 2.1311e-05 0.0001331815 9.2758e-05 9.1215e-05 6.75872e-05 0.01345987 0.008010798 0.00743306 0.005169351 
105 2.3906e-06 4.34277e-05 9.6784e-06 4.0223e-06 3.0957e-06 2.48981e-05 2.7616e-06 1.59967e-05 0.000388864 0.0002680685 0.0001907599 0.0001991056 0.06339327 0.03263083 0.02657502 0.02325639 
210 4.0213e-06 4.58825e-05 9.0075e-06 5.4126e-06 5.8483e-06 2.86789e-05 4.3913e-06 2.28457e-05 0.001758215 0.001102904 0.0007596666 0.0005897405 0.5275527 0.2932085 0.2459314 0.1623849 
420 8.168e-06 5.00557e-05 1.2756e-05 8.3003e-06 8.1331e-06 3.3448e-05 8.0896e-06 2.48501e-05 0.007752662 0.004087461 0.003486462 0.002542642 4.935318 2.451436 2.246478 1.409107 
