N 1DFFTPACKC 1DFFTPACKR 1DFFTWC 1DFFTWR 1DGSLC 1DGSLR 1DMKLC 1DMKLR 2DFFTWC 2DFFTWR 2DMKLC 2DMKLR 3DFFTWC 3DFFTWR 3DMKLC 3DMKLR 
509 4.28403e-05 0.0002784725 3.0891e-05 3.1562e-05 3.63629e-05 0.0004878441 3.01142e-05 4.56586e-05 0.02894415 0.0226438 0.01149818 0.009125734 22.63026 15.93373 8.79128 6.144361 
1021 0.0001011596 0.0009211462 6.48114e-05 5.81002e-05 6.1594e-05 0.001800715 8.71248e-05 6.87139e-05 0.1385472 0.0909633 0.05621326 0.0430231 0 149.0678 0 0 
2027 0.0001994369 0.003528598 0.0001559429 0.0002018538 0.0001519969 0.006953075 0.0001715721 0.0001192487 0.5821792 0.4401041 0.247972 0.1843074 0 0 0 0 
4049 0.000437404 0.01381419 0.0003927186 0.0003404999 0.0003946524 0.0273185 0.0003949158 0.0002763891 2.767856 2.075254 1.202456 0.9018161 0 0 0 0 
8123 0.0009217721 0.05507126 0.0007436337 0.0007117603 0.0008520191 0.1096684 0.0008528269 0.0004885445 14.04656 8.893726 5.31205 3.96875 0 0 0 0 
