N 1DFFTPACKC 1DFFTPACKR 1DFFTWC 1DFFTWR 1DGSLC 1DGSLR 1DMKLC 1DMKLR 2DFFTWC 2DFFTWR 2DMKLC 2DMKLR 3DFFTWC 3DFFTWR 3DMKLC 3DMKLR 
504 8.4529e-06 4.95487e-05 1.2844e-05 1.18304e-05 1.001e-05 3.54816e-05 8.5231e-06 2.75912e-05 0.00947753 0.005523285 0.005160761 0.003514255 7.166225 3.946907 4.154366 2.441237 
1029 2.06509e-05 6.25894e-05 2.18288e-05 2.54005e-05 2.05096e-05 6.47083e-05 1.88344e-05 4.10402e-05 0.05859968 0.03070985 0.02797286 0.02185386 0 71.22837 0 0 
2058 3.72001e-05 8.6283e-05 4.54556e-05 4.65162e-05 3.79683e-05 0.0001366869 3.77293e-05 5.36991e-05 0.2804938 0.1330128 0.1158872 0.07831951 0 0 0 0 
4116 7.7084e-05 0.0001369309 9.14577e-05 8.84783e-05 7.77364e-05 0.000252798 7.93394e-05 6.62261e-05 1.225593 0.6950349 0.4981744 0.3309045 0 0 0 0 
8232 0.0001814666 0.0002528707 0.0001851351 0.0001849042 0.0001823072 0.0005115796 0.0001839225 0.0001034453 7.62265 3.011899 2.156592 1.413617 0 0 0 0 
