# N FFTW1DCEXEC_AVG FFTW1DCEXEC_STD FFTW1DREXEC_AVG FFTW1DREXEC_STD FFTW2DCEXEC_AVG FFTW2DCEXEC_STD FFTW2DREXEC_AVG FFTW2DREXEC_STD FFTW3DCEXEC_AVG FFTW3DCEXEC_STD FFTW3DREXEC_AVG FFTW3DREXEC_STD MKL1DCINIT_AVG MKL1DCINIT_STD MKL1DRINIT_AVG MKL1DRINIT_STD MKL2DCINIT_AVG MKL2DCINIT_STD MKL2DRINIT_AVG MKL2DRINIT_STD MKL3DCINIT_AVG MKL3DCINIT_STD MKL3DRINIT_AVG MKL3DRINIT_STD 
2 0.452945 0.0074090018371 0.4440123 0.0058022771593 0.06521403 0.000871474599681 0.05403024 0.000746687894341 0.06536405 0.000706810138345 0.0540368 0.000742574968905 0.3034806 0.00180572467447 9.43311e-05 8.34336097279e-06 1.64135e-05 3.71263749465e-06 3.11965e-05 1.36594400101e-05 2.08861e-05 3.32578550287e-06 2.54814e-05 1.16221910078e-05 
4 0.2799799 0.0122164919173 0.4805021 0.00396311559396 0.03723885 0.000741468430811 0.02688497 0.000336557474207 0.03708122 0.000642256919516 0.02671882 0.000291512244073 0.1638457 0.00908234420364 0.0001037239 8.30677913848e-06 2.15075e-05 4.70289252009e-06 2.57229e-05 3.97390341128e-06 2.33867e-05 5.75357251434e-06 2.60116e-05 4.67138678434e-06 
6 0.3360249 0.0122587614514 0.5215894 0.00307597569706 0.02795926 0.000573819455152 0.01823785 0.000303427777422 0.02722539 0.000320378593577 0.01811227 0.000189677732835 0.1477626 0.00756872842983 0.0001118412 7.21701527718e-06 1.93186e-05 2.83281878465e-06 2.63826e-05 5.23191843294e-06 2.30432e-05 5.24906382764e-06 2.66301e-05 4.34428356068e-06 
12 0.3062528 0.0137864087162 0.7114818 0.0068307360072 0.01968235 0.000393055529721 0.01061134 0.000271126662487 0.01915035 0.000193862965634 0.01253483 0.000210204942589 0.11163644 0.0157503458002 0.0001286507 1.85099505435e-05 2.2063e-05 1.72211697886e-06 2.99292e-05 3.75510922463e-06 3.92763e-05 1.08035644329e-05 2.7306e-05 2.22473818684e-06 
24 0.3633399 0.0476867362608 0.699322 0.00892315183479 0.008258969 0.00101182660715 0.00435802 0.000124634831764 0.008342524 0.000847150178319 0.004778725 0.000314985125372 0.1335034 0.0252084671631 0.0001088459 2.03757513151e-05 3.14706e-05 8.0640204227e-06 2.86093e-05 3.0823435907e-06 2.5124e-05 8.96503718775e-06 5.0641e-05 1.14786923278e-05 
48 0.3104428 0.0530411461578 0.6996791 0.00665540541298 0.005151396 0.000372098639885 0.002235486 0.000159411939341 0.005116191 0.000404409222844 0.002367049 0.000136479720875 0.10281508 0.0253483022876 0.0001229677 1.28549182983e-05 4.29759e-05 6.38830096435e-06 3.1642e-05 2.77323401264e-06 3.3901e-05 8.11694808547e-06 3.62885e-05 1.91862847382e-05 
96 0.2865146 0.043001003596 0.7033897 0.00418344188571 0.002634144 0.000123667175219 0.001250854 8.90708578355e-05 0.002020056 0.000243961752112 0.001394898 0.000194582826398 0.0925365 0.0245477809728 0.0001184729 6.83193809252e-06 2.23109e-05 9.08473403818e-06 3.08027e-05 2.45123461183e-06 3.12362e-05 7.49140275842e-06 2.09943e-05 9.00649278145e-07 
