# N FFTW1DCEXEC_AVG FFTW1DCEXEC_STD FFTW1DREXEC_AVG FFTW1DREXEC_STD FFTW2DCEXEC_AVG FFTW2DCEXEC_STD FFTW2DREXEC_AVG FFTW2DREXEC_STD FFTW3DCEXEC_AVG FFTW3DCEXEC_STD FFTW3DREXEC_AVG FFTW3DREXEC_STD MKL1DCINIT_AVG MKL1DCINIT_STD MKL1DRINIT_AVG MKL1DRINIT_STD MKL2DCINIT_AVG MKL2DCINIT_STD MKL2DRINIT_AVG MKL2DRINIT_STD MKL3DCINIT_AVG MKL3DCINIT_STD MKL3DRINIT_AVG MKL3DRINIT_STD 
1 12582912.0 0.0 12582912.0 0.0 12582912.0 0.0 12582912.0 0.0 12582912.0 0.0 12582912.0 0.0 12582912.0 0.0 12582912.0 0.0 12582912.0 0.0 12582912.0 0.0 12582912.0 0.0 12582912.0 0.0 
2 12582912.0 0.0 12582912.0 0.0 12582912.0 0.0 12582912.0 0.0 12582912.0 0.0 12582912.0 0.0 12582912.0 0.0 12582912.0 0.0 12582912.0 0.0 12582912.0 0.0 12582912.0 0.0 12582912.0 0.0 
4 12582912.0 0.0 12582912.0 0.0 12582912.0 0.0 12582912.0 0.0 12582912.0 0.0 12582912.0 0.0 12582912.0 0.0 12582912.0 0.0 12582912.0 0.0 12582912.0 0.0 12582912.0 0.0 12582912.0 0.0 
