# N FFTW1DCEXEC_AVG FFTW1DCEXEC_STD FFTW1DREXEC_AVG FFTW1DREXEC_STD FFTW2DCEXEC_AVG FFTW2DCEXEC_STD FFTW2DREXEC_AVG FFTW2DREXEC_STD FFTW3DCEXEC_AVG FFTW3DCEXEC_STD FFTW3DREXEC_AVG FFTW3DREXEC_STD MKL1DCINIT_AVG MKL1DCINIT_STD MKL1DRINIT_AVG MKL1DRINIT_STD MKL2DCINIT_AVG MKL2DCINIT_STD MKL2DRINIT_AVG MKL2DRINIT_STD MKL3DCINIT_AVG MKL3DCINIT_STD MKL3DRINIT_AVG MKL3DRINIT_STD 
1 0.0003041895 3.42567148884e-05 0.4291026 0.00253150228564 0.993375 0.00222805201415 0.2471139 0.000833029071121 0.9951495 0.00259305839374 0.6154018 0.00131311849343 0.002858605 0.000365701463287 7.22034e-05 8.84384808151e-07 0.0001634794 2.92131046363e-05 0.0002574798 3.41228770371e-05 0.0002284037 2.88704408389e-05 0.0003361066 2.97021415322e-05 
6 0.0082006434 0.00557688104154 0.5195413 0.00400140608759 0.1966927 0.00334981240105 0.07862114 0.000475053269995 0 0 0 0 0.013037087 0.00648709961636 0.0001152506 9.33059127816e-06 0.0001833034 1.42404677841e-05 0.0004225831 1.9535470517e-05 0 0 0.0004546957 1.43265496354e-05 
8 0.0048396299 0.00696919854343 0.5739561 0.00388515126118 0 0 0.06803702 0.000781806614053 0 0 0 0 0.008469263 0.00507105767178 0.0001261721 1.18082589407e-05 0 0 0.0004582372 3.83896559413e-05 0 0 0 0 
12 0.0020343497 0.00187162109132 0.707318 0.00225727495495 0.1443801 0.00377319780234 0.05652139 0.00074452703473 0 0 0.1198677 0.00324200401158 0.005735969 0.00328371476476 0.0001204821 8.9333541598e-06 0.0001728381 2.27033414841e-05 0.0005127038 7.4748234592e-05 0.0005460784 7.15446206009e-05 0.0004946471 0.000120863888347 
16 0.0012397669 0.00157384656052 0.701085 0.00149377143871 0 0 0.04798909 0.00107252363398 0 0 0 0 0.00445227 0.00198943762862 0.0001186805 2.18706213256e-05 0 0 0.0005170536 0.000104815799574 0 0 0 0 
24 0.1853846 0.0564731657519 0.6933676 0.0015523359602 0.0718668 0.00274455590457 0.03347422 0.000480689120604 0 0 0.06910758 0.00252152336795 0.08819881 0.0185196706766 0.0001044578 1.78617598287e-05 0.00015894 2.85952112541e-05 0.0004874081 0.000100383064619 0.0004640836 0.000145559621288 0.0005318263 0.000145436586143 
48 0.2464617 0.0379630121743 0.693746 0.00161608126858 0.05217808 0.00160720244234 0.02079736 0.000687381162578 0 0 0.05373365 0.00218269786796 0.08714727 0.0128807946412 0.0001211024 9.25549413052e-06 0.0001864083 6.14897362799e-06 0.0005980372 2.724237782e-05 0.0002938903 8.99214333676e-06 0.0004714666 5.34764650623e-06 
96 0 0 0.6944779 0.00235138429441 0 0 0 0 0 0 0 0 5.29233e-05 5.03662356147e-06 0.000112462 1.19776130065e-05 0 0 0 0 0 0 0 0 
