# N FFTW1DCEXEC_AVG FFTW1DCEXEC_STD FFTW1DCINIT_AVG FFTW1DCINIT_STD FFTW2DCEXEC_AVG FFTW2DCEXEC_STD FFTW2DCINIT_AVG FFTW2DCINIT_STD FFTW2DREXEC_AVG FFTW2DREXEC_STD FFTW2DRINIT_AVG FFTW2DRINIT_STD FFTW3DCEXEC_AVG FFTW3DCEXEC_STD FFTW3DCINIT_AVG FFTW3DCINIT_STD FFTW3DREXEC_AVG FFTW3DREXEC_STD FFTW3DRINIT_AVG FFTW3DRINIT_STD 
1 1.84725e-05 5.89438218891e-06 0.0004465042 1.4800595482e-05 0.003224021 0.000200558775727 0.002466277 7.43592364509e-05 0.001255894 1.93950292601e-05 0.002660977 1.81619920897e-05 1.767079 0.0551287389158 0.002957227 8.46307310943e-05 0.3836549 0.00153373838491 0.002926034 0.000103093980986 
2 5.78316e-05 1.42382432999e-05 0.002796192 6.03863628461e-05 0.00198277 8.14847970824e-05 0.003522616 4.68967942994e-05 0.001395289 7.90308043248e-05 0.001251284 2.89007240202e-05 0.6402377 0.00947816325444 0.004296073 0.00144577179231 0.2533101 0.00189127484635 0.003872016 1.65946699609e-05 
4 4.26476e-05 1.23875028422e-06 0.003939156 8.14008449588e-05 0.001118599 2.04226962253e-05 0.003895007 2.11905340764e-05 0.0010087527 1.96565357129e-05 0.00145257 3.24846863067e-05 0.3323399 0.0031195989931 0.004394529 0.000742218445105 0.142419 0.00135197066043 0.004376185 0.000283947273832 
6 0.0005557979 3.1369931486e-05 0.002766493 5.62021114767e-05 0.001147279 2.95681617247e-05 0.001328234 5.95842298301e-06 0.0007515116 2.22642273474e-05 0.001616129 9.02681369895e-06 0.2640876 0.00266380363808 0.003076336 0.000972193835579 0.1323515 0.00118041040415 0.002267588 2.15921672012e-05 
12 0.0006602491 2.66373272619e-05 0.003686917 5.51837679536e-05 0.0009254406 3.36618588752e-05 0.002356268 2.48949221953e-05 0.0004759252 1.72813178433e-05 0.002820145 2.74789532592e-05 0.1856271 0.00368529982046 0.002087749 0.000224884320754 0.08462185 0.0014275308008 0.002213786 5.83867692775e-05 
24 0.0007394657 1.34630302933e-05 0.00706411 0.000516971960383 0.0005118484 2.30993315882e-05 0.004585014 3.02871704412e-05 0.0003845466 3.03132599156e-05 0.004516765 3.38297322386e-05 0.08671027 0.000876113525178 0.00497193 0.000950296319635 0.04928527 0.000554251082393 0.002842044 0.000143045688521 
48 0.01914296 0.00229257215527 0.01105779 0.00214095111814 0.005325915 0.00224674690742 0.011959929 0.00333648962987 0.007977329 0.00313687756638 0.010318271 0.00321788728732 0.08432734 0.036080949468 0.008087616 0.00174512704045 0.04108716 0.0111602030156 0.004832565 0.000750537792864 
96 0.01886289 0.00224040291885 0.014691685 0.00360411336701 0 0 0 0 0 0 0.0182931571429 0.00452393785761 0 0 0 0 0 0 0 0 
