# N FFTW1DCEXEC_AVG FFTW1DCEXEC_STD FFTW1DREXEC_AVG FFTW1DREXEC_STD FFTW2DCEXEC_AVG FFTW2DCEXEC_STD FFTW2DREXEC_AVG FFTW2DREXEC_STD FFTW3DCEXEC_AVG FFTW3DCEXEC_STD FFTW3DREXEC_AVG FFTW3DREXEC_STD MKL1DCINIT_AVG MKL1DCINIT_STD MKL1DRINIT_AVG MKL1DRINIT_STD MKL2DCINIT_AVG MKL2DCINIT_STD MKL2DRINIT_AVG MKL2DRINIT_STD MKL3DCINIT_AVG MKL3DCINIT_STD MKL3DRINIT_AVG MKL3DRINIT_STD 
1 0.0001082732 2.62488774397e-05 0.4289453 0.00250823094143 0.003408468 6.84559619674e-05 0.001267036 0.000139621567357 0.8498543 0.00661132180514 0.2221083 0.00138912218885 0.002749213 0.000243180703367 6.91794e-05 8.3045529574e-06 2.82373e-05 1.79763925747e-06 7.98163e-05 1.67638431953e-05 6.47628e-05 6.14401390334e-06 5.31698e-05 1.21759436942e-05 
2 0.0052475935 0.0102725258071 0.4446133 0.00403950184085 0 0 0.0010666003 0.000111875487877 0 0 0 0 0.004307022 0.00196791602183 9.52347e-05 8.51179800891e-06 0 0 0.0001176062 1.51730945046e-05 0 0 0 0 
4 0.008566623 0.00997635833348 0.4798128 0.0042492758808 0.001292323 0.000104660304271 0.0007120067 7.22623955427e-05 0.2416842 0.00192558492124 0.09708467 0.00109924376434 0.008054077 0.00481967301224 0.0001069935 6.93698184852e-06 4.09555e-05 4.70395432352e-06 0.0001349772 2.19995713382e-05 7.59696e-05 3.63475344791e-05 9.15922e-05 8.48385379936e-06 
6 0.0051638869 0.00623435398634 0.5205685 0.00423909327962 0.0010861189 8.68728179383e-05 0.0005855021 4.4161985972e-05 0.1766227 0.0029397739161 0.07278506 0.000949708385886 0.011216078 0.00615697802315 0.0001201388 1.00393572813e-05 3.71433e-05 7.10395648839e-06 0.0001356124 2.53297534541e-05 6.26608e-05 5.71410105305e-06 0.0001002912 1.33932809257e-05 
12 0.001758561 0.00168513541762 0.7105859 0.00507766318628 0.0007598434 2.92265722178e-05 0.0003435158 4.02550883541e-05 0.1281189 0.00185763855173 0.05129096 0.000578686100288 0.006361472 0.00353039947118 0.0001265291 1.51141606115e-05 3.75686e-05 1.04836139676e-05 0.0001470786 1.82887195785e-05 0.0001157728 2.04537943603e-05 8.63983e-05 1.38007589006e-05 
24 0.15246407 0.0637347285522 0.6986583 0.00645347985457 0.000468827 4.10627814937e-05 0.000336018 3.95903088085e-05 0.07818506 0.00192829320223 0.02934711 0.000516420144305 0.0869084 0.0151516686455 9.84588e-05 1.51689272367e-05 4.63048e-05 5.9651219751e-06 0.0001147758 1.73378821518e-05 0.000134997 9.35855020135e-05 5.82886e-05 1.29922037751e-05 
48 0 0 0.6998299 0.00654024016633 0 0 0 0 0 0 0 0 5.6206e-05 7.63863965492e-06 0.0001217244 1.68434164798e-05 0 0 0 0 0 0 0 0 
96 0 0 0.7064577 0.00119555770807 0 0 0 0 0 0 0 0 5.69047e-05 9.05943573237e-06 0.0001196405 6.46047982824e-06 0 0 0 0 0 0 0 0 
