# N FFTW1DCEXEC_AVG FFTW1DCEXEC_STD FFTW1DCINIT_AVG FFTW1DCINIT_STD FFTW2DCEXEC_AVG FFTW2DCEXEC_STD FFTW2DCINIT_AVG FFTW2DCINIT_STD FFTW2DREXEC_AVG FFTW2DREXEC_STD FFTW2DRINIT_AVG FFTW2DRINIT_STD FFTW3DCEXEC_AVG FFTW3DCEXEC_STD FFTW3DCINIT_AVG FFTW3DCINIT_STD FFTW3DREXEC_AVG FFTW3DREXEC_STD FFTW3DRINIT_AVG FFTW3DRINIT_STD 
1 0.9463119 0.00950057098226 0.06105781 0.000179641095583 0.9498067 0.00948433356237 0.04974151 0.00018157192912 0.6908035 0.0109436678825 0.2443357 0.000629436617584 0.9483393 0.00983194892006 0.04936942 0.000131001304489 0.6875899 0.0108689969633 0.2224778 0.000540286714008 
2 0.6735203 0.00401599336127 0.1338405 0.000290524908093 0.6742161 0.00440358193722 0.1173994 0.00024736352017 0.7714375 0.0130358959565 0.2483228 0.000520796782717 0.6728655 0.00503212551182 0.1131281 0.000249984199501 0.7715557 0.0134687524544 0.2314223 0.000464961181175 
4 0.3379119 0.00257236011173 0.07816483 0.000259328513451 0.334523 0.00254302925225 0.05009965 8.31408209673e-05 0.8040184 0.0118456765878 0.2437793 0.000294854408518 0.3338222 0.00246582299987 0.05008678 7.52854980871e-05 0.8033439 0.0110262903548 0.2320861 0.000212424339472 
6 0.3345355 0.0024589721091 0.009962344 0.000263686955781 0.329623 0.00269436374679 0.0009835643 6.42173355013e-06 0.8261841 0.0123482113905 0.2589406 0.000765502768701 0.3285315 0.00173212209282 0.0009928166 1.39515537422e-05 0.8295747 0.0102774450354 0.2440651 0.0012440815845 
12 0.2358741 0.00154006511046 0.00580055 0.000121132159323 0.2297353 0.0027586308621 0.0009486343 1.63656160291e-05 0.8325804 0.0123573896938 0.2603224 0.00053536637507 0.2344118 0.0036495185923 0.0009676114 2.18226140872e-05 0.8351326 0.0119398507361 0.240297 0.000499390962407 
24 0.1201502 0.000975424215406 0.02253379 0.00784875109718 0.1200494 0.00269961475441 0.001208666 1.15234796057e-05 0.8422539 0.0133318503129 0.2536166 0.000640167373947 0.1187798 0.000892731986657 0.001197676 8.85108179201e-06 0.8467089 0.0127553836168 0.2370782 0.000658767671068 
48 0.12569171 0.0799905269159 0.02801598 0.00617950007395 0.10099269 0.00579798976091 0.007599812 0.00137366619867 0.8358969 0.0338689614624 0.2562183 0.00125292094723 0.10083442 0.00546141061119 0.007263732 0.00146022673929 0.8229474 0.015730576363 0.2413655 0.0013754129279 
96 0.08523825 0.0118727530401 0.02301922 0.00413474644683 0.09170605 0.0269668766762 0.010071401 0.00768276981383 0.8435649 0.108601015169 0.2618436 0.00228424333205 0.09109312 0.0458218222061 0.007301887 0.00207110983108 0.8741147 0.102116167983 0.2450239 0.0027549748315 
