# N FFTW1DCEXEC_AVG FFTW1DCEXEC_STD FFTW1DCINIT_AVG FFTW1DCINIT_STD FFTW2DCEXEC_AVG FFTW2DCEXEC_STD FFTW2DCINIT_AVG FFTW2DCINIT_STD FFTW2DREXEC_AVG FFTW2DREXEC_STD FFTW2DRINIT_AVG FFTW2DRINIT_STD FFTW3DCEXEC_AVG FFTW3DCEXEC_STD FFTW3DCINIT_AVG FFTW3DCINIT_STD FFTW3DREXEC_AVG FFTW3DREXEC_STD FFTW3DRINIT_AVG FFTW3DRINIT_STD 
1 0.0001591987 2.34918241903e-05 0.0003681784 2.35590092048e-05 1.702041 0.0440070015768 0.005409957 0.000117122025925 0.4987766 0.00111385827944 0.007033624 8.78057507861e-05 1.684111 0.0462364861819 0.0003003773 2.88565408378e-05 1.621059 0.0215630725753 0.0004219349 3.39210778276e-05 
2 0.0002555206 2.69996337597e-05 0.002544274 6.16396829612e-05 0.7578965 0.0476993094016 0.006939232 0.00150639964006 0.3020964 0.00138051642511 0.003795412 0.00114416496112 0.7555759 0.0397314920643 0.0008481488 0.000904784773646 0.7072119 0.0486301420393 0.0008296959 0.000545437156657 
4 0.0001421439 6.34371427215e-06 0.003695023 4.35275422514e-05 0.4320992 0.0291162368325 0.007385437 0.00145601792017 0.2014145 0.000761589018653 0.00403581 0.000407840937758 0.4186546 0.0142691739946 0.0009286154 0.000772322077252 0.3976433 0.0211922078607 0.0014815343 0.00142307768731 
6 0.00063917 1.35641403627e-05 0.002542202 4.70195377358e-05 0.2721609 0.00204391522166 0.002458513 0.00134331762539 0.1260579 0.000634980218415 0.003912553 0.000341789081942 0.2593513 0.00246387057966 0.0025594346 0.00155253977812 0.2499429 0.00284181047339 0.003492384 0.000948219427374 
12 0.0006771569 2.58028428169e-05 0.003693769 6.19001068838e-05 0.1978226 0.00323896537665 0.001913572 0.000620814384584 0.1032222 0.00083604542673 0.003807753 0.000201704149908 0.1965264 0.00370270853415 0.0013238248 0.000909203121666 0.187895 0.00217194270438 0.001250579 0.000126646080121 
24 0.000782861 2.88422317521e-05 0.007802296 0.000444403694284 0.09835306 0.00109265687935 0.005954146 0.00113975499518 0.04840795 0.000590155659786 0.004764617 0.000167796162322 0.09814576 0.00093979418456 0.005839534 0.000587899395932 0.0916366 0.000778284328222 0.00769567 0.00119692991332 
48 0.01830845 0.00252565670635 0.0221794 0.0066270164901 0.05782566 0.00659794907515 0.006329575 0.00195113864258 0.02357619 0.00814555592188 0.004684989 0.000800682812513 0.05863656 0.00731380913071 0.006172791 0.00269397186594 0.05529383 0.00733751273147 0.006164249 0.00356791767382 
96 0.03215232 0.00202435191045 0.02714447 0.00471266663367 0.04311076 0.00891150349532 0.006875767 0.00344385509782 0.02351 0.00627183774574 0.007120532 0.00111379735107 0.0402026 0.00683893468328 0.008892701 0.00324202981852 0.04094359 0.00863016634672 0.007679871 0.00179214131981 
