# N FFTW1DCEXEC_AVG FFTW1DCEXEC_STD FFTW1DCINIT_AVG FFTW1DCINIT_STD FFTW2DCEXEC_AVG FFTW2DCEXEC_STD FFTW2DCINIT_AVG FFTW2DCINIT_STD FFTW2DREXEC_AVG FFTW2DREXEC_STD FFTW2DRINIT_AVG FFTW2DRINIT_STD 
1 1.0926407 0.171041969632 0.06046629 8.32333326659e-05 1.09525850847 0.161129097409 0.0496413186441 0.00189915331856 0.68314975 0.00876735504689 0.242822018182 0.000474457370013 
2 1.0657124 0.162539691987 0.06051601 8.22520712336e-05 0.623023 0.00868885775002 0.116357777778 0.00130343563111 0.76742425 0.00990369542501 0.244604 0.0010539011881 
4 1.0984216 0.168530408135 0.06049799 0.000154491944774 0 0 0 0 0 0 0 0 
6 1.1039874 0.168729320513 0.06051259 0.000186154544219 1.25419 0 0.0491943 0 0.676283 0 0.24244 0 
12 1.1065541 0.166716067147 0.06048583 6.54451093156e-05 0 0 0 0 0.67049 0 0.242719 0 
24 1.101404 0.168872331635 0.06050033 7.29169702851e-05 0 0 0 0 0.675612 0.00184979133958 0.242907 0.00046908314828 
48 0.6136807 0.00803050845284 0.1515807 0.00615661476336 0.634411 0 0.116055 0 0.765701 0.0204537707526 0.245 0.000449719912835 
