# N FFTW1DCEXEC_AVG FFTW1DCEXEC_STD FFTW1DCINIT_AVG FFTW1DCINIT_STD FFTW2DCEXEC_AVG FFTW2DCEXEC_STD FFTW2DCINIT_AVG FFTW2DCINIT_STD FFTW2DREXEC_AVG FFTW2DREXEC_STD FFTW2DRINIT_AVG FFTW2DRINIT_STD FFTW3DCEXEC_AVG FFTW3DCEXEC_STD FFTW3DCINIT_AVG FFTW3DCINIT_STD FFTW3DREXEC_AVG FFTW3DREXEC_STD FFTW3DRINIT_AVG FFTW3DRINIT_STD 
1 1.58303e-05 2.71000680811e-06 0.0004181627 7.66256903612e-06 0.003208641 0.000106242241385 0.002727769 6.9465144809e-05 0.001387977 1.02627915306e-05 0.002713273 1.81341005046e-05 1.71441 0.0162453193259 0.00302466 6.77452863469e-05 0.3845796 0.000655571031832 0.00301464 8.21680394747e-05 
2 5.27638e-05 1.08400998847e-05 0.02116571 0.0127785100471 0.002394205 6.76780862696e-05 0.01913379 0.0138663021722 0.001643379 2.00747787867e-05 0.004196491 0.00588874727899 1.158757 0.0174846955618 0.00784859 0.00333484627286 0.3127386 0.00898201380785 0.01587408 0.00321943639471 
3 0.0022327863 0.00467415721304 0.031877116 0.0197733421962 0.007458679 0.00824569760204 0.016685723 0.0128729499353 0.001352102 4.08095696294e-05 0.012193118 0.00645463571095 0.4783559 0.00380140758872 0.001956558 0.00015022879076 0.3297732 0.010957501467 0.01549887 0.00343034617238 
4 4.64069e-05 6.16939830399e-06 0.03855211 0.0216604924568 0.00131132 9.77187037709e-05 0.04669606 0.029941663786 0.012546651 0.00991581426594 0.02343839 0.0101512251802 0.3313526 0.0031627126964 0.008972019 0.000904760047102 0.1965275 0.0178956949215 0.01823523 0.00548881922478 
6 0.0065744582 0.0161584772017 0.08126927 0.0317184115309 0.004587941 0.00724601061295 0.0177226 0.0181383468946 0.0046509873 0.0080457111168 0.026805426 0.0218117509218 0.2235432 0.00375107569164 0.006692 0.00129131934221 0.1717819 0.00586675705328 0.01612065 0.00456705431621 
8 8.24508e-05 1.45398179478e-05 0.004005296 6.67240053754e-05 0.0007373703 3.4747328182e-05 0.004139412 4.48000847717e-05 0.0007086526 2.30078726101e-05 0.002212205 4.46215987188e-05 0.1563572 0.000422346829566 0.007149355 0.00163820260888 0.07593457 0.00081621675641 0.00473491 0.00029840420283 
12 0.0005834407 2.06826642441e-05 0.003760204 5.91068904049e-05 0.0008611554 1.5644152157e-05 0.002445392 2.23833985107e-05 0.0004286807 9.4527741848e-06 0.002839813 1.54195295e-05 0.1217601 0.000684915477348 0.005785498 0.00120356005114 0.05760012 0.000428903158715 0.002663293 0.000294811230792 
24 0.0007662319 4.43115578413e-05 0.007211067 0.000415374769256 0.000505169 2.2049143934e-05 0.004608697 3.14090850445e-05 0.0003804391 2.82116583011e-05 0.004525157 4.27021446378e-05 0.08679022 0.00046542177956 0.005311157 0.00114315303785 0.04855614 0.000430149545572 0.002961209 0.000230040356433 
