# N FFTW1DCEXEC_AVG FFTW1DCEXEC_STD FFTW1DREXEC_AVG FFTW1DREXEC_STD FFTW2DCEXEC_AVG FFTW2DCEXEC_STD FFTW2DREXEC_AVG FFTW2DREXEC_STD FFTW3DCEXEC_AVG FFTW3DCEXEC_STD FFTW3DREXEC_AVG FFTW3DREXEC_STD MKL1DCINIT_AVG MKL1DCINIT_STD MKL1DRINIT_AVG MKL1DRINIT_STD MKL2DCINIT_AVG MKL2DCINIT_STD MKL2DRINIT_AVG MKL2DRINIT_STD MKL3DCINIT_AVG MKL3DCINIT_STD MKL3DRINIT_AVG MKL3DRINIT_STD 
1 0.0003118666 4.40723273651e-05 0.4322479 0.00272746848235 0.006676188 0.000110097847471 0.003149915 6.31020162118e-05 0.758904666667 0.0103370536099 0.110605666667 0.00196259021024 0.003075223 0.000183867634941 0.0001089838 1.84956864641e-06 6.51894e-05 2.60219156234e-05 7.75809e-05 7.89301844037e-06 0.000107846 2.52372602118e-05 5.72364e-05 6.10814405709e-06 
2 0.05161238 0.018980891472 0.4350328 0.00457775174804 0 0 0.002279406 7.89359580363e-05 0 0 0 0 0.004600515 0.00134828875504 9.666e-05 1.9808244075e-06 0 0 9.03964e-05 6.02079332536e-06 0 0 0 0 
4 0.051182089 0.0292839945497 0.4467106 0.00533351366778 0.002773414 9.741874109e-05 0.001603103 5.37292786001e-05 0.323631375 0.00500116449118 0.1162095 0.00328326135768 0.012216214 0.00634730411487 9.77611e-05 3.44489317525e-06 3.89625e-05 1.19892907236e-05 8.69016e-05 6.95450735055e-06 6.0734875e-05 1.64599139682e-05 5.87629e-05 4.34621829104e-06 
8 0.07775038 0.0234241628477 0.475129 0.00327439463447 0 0 0.0010256584 6.08407868168e-05 0 0 0 0 0.02224697 0.00711519828584 9.6717e-05 6.96838773e-06 0 0 9.69548e-05 6.11159718713e-06 0 0 0 0 
12 0.0990103 0.0332148122819 0.5072505 0.00557620122086 0.001402724 8.38751238714e-05 0.0007741262 2.4195232298e-05 0.1502851 0.00498477901995 0.05578184 0.0023026316332 0.03160476 0.00918490904137 9.01156e-05 5.56514143177e-06 2.75427e-05 3.09827195743e-06 9.53236e-05 3.82869006319e-06 6.20042e-05 2.70358379801e-05 6.00928e-05 3.58625145676e-06 
24 0.15219713 0.0690539115495 0.6936503 0.00193427149939 0.0005231286 3.49881591183e-05 0.0003146656 2.17670818449e-05 0.07707715 0.00220391142757 0.02937092 0.000518761584717 0.08392405 0.017405351599 9.82257e-05 1.66956059359e-05 4.59621e-05 7.09210212451e-06 0.0001215511 2.55146752868e-05 7.19042e-05 3.46657382305e-05 6.57631e-05 1.93886143362e-05 
