# N FFTW1DCEXEC_AVG FFTW1DCEXEC_STD FFTW1DREXEC_AVG FFTW1DREXEC_STD FFTW2DCEXEC_AVG FFTW2DCEXEC_STD FFTW2DREXEC_AVG FFTW2DREXEC_STD FFTW3DCEXEC_AVG FFTW3DCEXEC_STD FFTW3DREXEC_AVG FFTW3DREXEC_STD MKL1DCINIT_AVG MKL1DCINIT_STD MKL1DRINIT_AVG MKL1DRINIT_STD MKL2DCINIT_AVG MKL2DCINIT_STD MKL2DRINIT_AVG MKL2DRINIT_STD MKL3DCINIT_AVG MKL3DCINIT_STD MKL3DRINIT_AVG MKL3DRINIT_STD 
1 0.00220989935 0.000868773741307 0.42995905 0.00305875897857 0.952794716667 0.171893651568 0.182132666667 0.0562453159215 0.964272166667 0.162854936174 0.414474933333 0.169469720449 0.00300633833333 0.000307687607817 7.92117333333e-05 1.61783858006e-05 0.000168937233333 4.55433245161e-05 0.00028428975 2.59287320042e-05 0.00021678055 2.44501111886e-05 0.000384755866667 5.2724565997e-05 
2 0.01526539 0.0163842695128 0.4300763 0.0031507847012 0 0 0.1264044 0.0131142256365 0 0 0 0 0.00312823 0.000268751252152 0.0001193513 2.03446957597e-06 0 0 0.0002659037 1.33192385506e-05 0 0 0 0 
4 0.021419127 0.0258854707748 0.4317402 0.00267406622539 0 0 0.11993498 0.100764089134 0 0 0 0 0.00297735 0.000159289044054 0.0001208622 1.72472701866e-06 0 0 0.0003311226 2.22800708118e-05 0 0 0 0 
