# N FFTW1DCEXEC_AVG FFTW1DCEXEC_STD FFTW1DCINIT_AVG FFTW1DCINIT_STD FFTW2DCEXEC_AVG FFTW2DCEXEC_STD FFTW2DCINIT_AVG FFTW2DCINIT_STD FFTW2DREXEC_AVG FFTW2DREXEC_STD FFTW2DRINIT_AVG FFTW2DRINIT_STD FFTW3DCEXEC_AVG FFTW3DCEXEC_STD FFTW3DCINIT_AVG FFTW3DCINIT_STD FFTW3DREXEC_AVG FFTW3DREXEC_STD FFTW3DRINIT_AVG FFTW3DRINIT_STD 
1 2.12105666667e-05 8.06700488045e-06 0.000432272383333 1.99600966788e-05 0.00355851616667 0.000106731763101 0.0025720375 0.000141623571288 0.00138537 6.6655129852e-05 0.00266414333333 6.34286034142e-05 1.779819 0.0958966707098 0.00297385183333 0.000100462482828 0.383673783333 0.00111440733039 0.00294633816667 8.65176506826e-05 
2 0.003888842 0.00336524663806 0.01283921 0.00179320593256 0.00719807 0.00609732763622 0.011376135 0.00477499992962 0.005116431 0.0049905979306 0.00217692 0.00127559638385 0.9562965 0.0188788559167 0.005664841 0.00217602400632 0.2832148 0.00398505133942 0.01428199 0.00249917735507 
4 0.006327917 0.00546368357651 0.04850577 0.0533647851973 0.009791061 0.00628188093347 0.012139887 0.00710565404 0.006058137 0.00700865985407 0.010029707 0.00678167925542 0.3514753 0.00263806562339 0.00666317 0.00237879029503 0.1773682 0.0248391227023 0.019947153 0.00795481718483 
