# N FFTW1DCEXEC_AVG FFTW1DCEXEC_STD FFTW1DCINIT_AVG FFTW1DCINIT_STD FFTW2DCEXEC_AVG FFTW2DCEXEC_STD FFTW2DCINIT_AVG FFTW2DCINIT_STD FFTW2DREXEC_AVG FFTW2DREXEC_STD FFTW2DRINIT_AVG FFTW2DRINIT_STD 
1 0.000131215431034 1.88050289066e-05 0.00035778145614 2.81160011407e-05 1.62830363636 0.017220492602 0.00544537545455 0.000120373187825 0.4959815 0.000261929273745 0.00708274090909 7.87448929715e-05 
2 0.006865612875 0.0092198181469 0.014440483 0.0168940601635 1.63217684211 0.0159919969751 0.00549888105263 0.000107505868362 0.4958649 0.000748919635911 0.007160506 6.85773984096e-05 
4 0.00651598875 0.00699289813838 0.0152824375 0.00684223903055 0 0 0 0 0 0 0 0 
6 0 0 0 0 1.628116 0.0157371282147 0.005516942 0.000127772303102 0.4959698 0.000521398504025 0.00718011111111 8.93268269397e-05 
12 0 0 0.000365489 0 1.640651 0.0196748917546 0.005499668 0.000104510824936 0.4959509 0.00171256451298 0.007209589 0.000101701267385 
24 0.000119157 0 0.000354086 0 1.637214 0.0144248020976 0.005570485 0.000133023119064 0.4952828 0.000845376287026 0.007176007 8.1984700341e-05 
48 0.00610031333333 0.00567122804365 0.00619613 0.0054059902201 0.835896 0.00334698414829 0.00620708 0.000339678980182 0.2914146 0.00994596912433 0.0160718 0.0027772398104 
96 0.0140404 0.0041344533496 0.0180698 0.00687095659279 0.3481603 0.00153418469481 0.007617892 0.000919982278849 0.2379786 0.00247197937784 0.012185057 0.00261884661371 
