# N FFTW1DCEXEC_AVG FFTW1DCEXEC_STD FFTW1DCINIT_AVG FFTW1DCINIT_STD FFTW2DCEXEC_AVG FFTW2DCEXEC_STD FFTW2DCINIT_AVG FFTW2DCINIT_STD FFTW2DREXEC_AVG FFTW2DREXEC_STD FFTW2DRINIT_AVG FFTW2DRINIT_STD FFTW3DCEXEC_AVG FFTW3DCEXEC_STD FFTW3DCINIT_AVG FFTW3DCINIT_STD FFTW3DREXEC_AVG FFTW3DREXEC_STD FFTW3DRINIT_AVG FFTW3DRINIT_STD 
1 1.50844e-05 2.44428181681e-06 0.00041684 9.39861772343e-06 0.003491607 2.29439326523e-05 0.002694729 1.81588487459e-05 0.001274107 7.95168891983e-05 0.002708597 1.54510546566e-05 1.734898 0.0251446865604 0.002923957 7.15249759097e-05 0.3831344 0.00062948359788 0.002927613 7.61490102146e-05 
2 0.0011554557 0.00349732698155 0.017372154 0.0123979558116 0.00352183 0.00372341218247 0.021296717 0.0176835099317 0.002753497 0.00350964414224 0.003240824 0.00544379196895 1.049522 0.0195146462376 0.00960095 0.00363113174141 0.3095763 0.0136749643189 0.01534704 0.0029305386578 
4 4.7392e-05 3.89877382434e-06 0.05163468 0.0375285170618 0.004900429 0.00764950203325 0.028625196 0.0208675052269 0.0027206665 0.00557623946525 0.02758153 0.011015354894 0.3268962 0.0015403271514 0.007574227 0.00221738927487 0.2010693 0.0140206197442 0.01767349 0.00519895126144 
8 9.28444e-05 2.95378885434e-05 0.1141388 0.0349638263754 0.0008932659 0.000288173941335 0.013506421 0.0181344217709 0.0026923906 0.00610165630494 0.019105584 0.0175239443485 0.1558907 0.00263178832524 0.008267431 0.00182054428671 0.1263966 0.00202995337659 0.02232731 0.00459929932017 
12 0.0005799579 2.22158714509e-05 0.13141563 0.0310590550653 0.0009095051 6.77598867398e-05 0.008499031 0.00912577869013 0.002248653 0.00556621143116 0.010452518 0.0112196741647 0.121127 0.000794784666854 0.009115857 0.00378904479918 0.10288084 0.00224017345321 0.013879924 0.00779140108681 
24 0.000739113 2.64354049083e-05 0.00719195 0.00048481582228 0.0005110703 2.84240291579e-05 0.004593289 5.23954892991e-05 0.0003776057 2.32850465514e-05 0.004539685 2.48197234518e-05 0.08742771 0.000396731595386 0.007655118 0.00140112661018 0.05099417 0.000746959171947 0.003304401 0.000227111141096 
